Class,Image,Width,Height,Aspect_Ratio,Brightness,Contrast,Blur_Score,Edge_Intensity
classA,img_0.jpg,100,100,1.0,127.116,49.38407986385896,48045.871457990004,96.5175
classA,img_1.jpg,100,100,1.0,126.7312,49.03312295336694,47618.73912711,94.4265
classA,img_2.jpg,100,100,1.0,127.4906,49.56942516955387,48695.43417504,95.3955
classA,img_3.jpg,100,100,1.0,127.1477,49.2207789933276,48642.026871,94.605
classA,img_4.jpg,100,100,1.0,127.1454,49.16085494415247,49198.284975,95.676
classB,img_0.jpg,100,100,1.0,127.116,49.38407986385896,48045.871457990004,96.5175
classB,img_1.jpg,100,100,1.0,126.7312,49.03312295336694,47618.73912711,94.4265
classB,img_2.jpg,100,100,1.0,127.4906,49.56942516955387,48695.43417504,95.3955
classB,img_3.jpg,100,100,1.0,127.1477,49.2207789933276,48642.026871,94.605
classB,img_4.jpg,100,100,1.0,127.1454,49.16085494415247,49198.284975,95.676
