id,age,salary,department,is_remote,join_date,feedback,lat,lon
0,39.96714153011233,9165.056756753847,Sales,0,2020-01-01,Great place,23.943928283476456,90.32460916851016
1,33.61735698828815,0.0,Marketing,1,2020-01-02,Great place,23.76582903923491,90.67275598624693
2,41.47688538100692,50589.205735206524,Marketing,0,2020-01-03,I love working here! Best company ever.,23.00540492367267,90.33726689605423
3,,61289.746975579976,IT,1,2020-01-04,Great place,23.001346270956564,90.17959978144009
4,32.658466252766644,,HR,1,2020-01-05,I love working here! Best company ever.,23.37810076978745,90.28135062185385
5,32.6586304305082,0.0,Engineering,0,2020-01-06,I love working here! Best company ever.,23.143395370010893,90.45757533225043
6,50.79212815507391,,Engineering,1,2020-01-07,Needs improvement,23.0183861421516,90.47538585535548
7,42.67434729152909,38967.5444047811,IT,0,2020-01-08,Average,23.464066689404504,90.7830002313472
8,30.305256140650478,61732.00020306195,HR,0,2020-01-09,Great place,23.94306189740697,90.75015322943152
9,40.42560043585965,102385.17762273805,Sales,1,2020-01-10,Needs improvement,23.32381957490243,90.45681780455614
10,30.365823071875376,62603.37364360131,IT,0,2020-01-11,Great place,23.661140678428698,90.84566734909878
11,30.34270246429743,80905.79362983629,IT,1,2020-01-12,I love working here! Best company ever.,23.65223535313244,90.11423713859139
12,,20734.13745732168,Engineering,0,2020-01-13,Great place,23.251080103665167,90.2553533502289
13,15.86719755342202,0.0,IT,0,2020-01-14,Average,23.650425248823865,90.82797646350225
14,17.750821674869673,4175.322487908133,IT,0,2020-01-15,I love working here! Best company ever.,23.212333974286892,90.37799403862616
15,29.377124707590273,0.0,IT,1,2020-01-16,I love working here! Best company ever.,23.12200741357689,90.98118155879384
16,24.87168879665576,39658.58414394647,Engineering,0,2020-01-17,Needs improvement,23.70138328555969,90.46625328152784
17,38.142473325952736,,Sales,1,2020-01-18,Average,23.113440817103918,90.79193562296376
18,25.91975924478789,30103.04859675232,Sales,0,2020-01-19,I love working here! Best company ever.,23.996909218589355,90.40230704138237
19,20.876962986647086,51581.950086004435,IT,0,2020-01-20,Average,23.18345240115023,90.42495351906243
20,49.65648768921554,37369.89069793848,Engineering,1,2020-01-21,Great place,23.59414186275646,90.38288314728419
21,32.74223699513465,65761.89174934603,Sales,1,2020-01-22,Average,23.41137457141259,90.71907562051081
22,35.67528204687924,4257.7449944478085,Sales,1,2020-01-23,I love working here! Best company ever.,23.126386422405666,90.54751788406
23,20.752518137865433,3112.501565950754,Sales,1,2020-01-24,Needs improvement,23.027843907577413,90.94377811136837
24,29.556172754748175,14191.357876995819,Engineering,1,2020-01-25,I love working here! Best company ever.,23.622732282292834,90.25089031653411
25,36.10922589709866,8690.574325757503,Engineering,0,2020-01-26,Average,23.806757563789127,90.10056273208345
26,,102701.7778501199,IT,0,2020-01-27,Average,23.842015661506743,90.39326148509922
27,38.75698018345672,0.0,Marketing,1,2020-01-28,I love working here! Best company ever.,23.482713473076934,90.61671270764677
28,28.99361310081195,,Sales,0,2020-01-29,Average,23.777455467182385,90.8607989369155
29,32.083062502067236,0.0,Marketing,0,2020-01-30,Great place,23.672847133488546,90.34619688668033
30,28.98293387770603,10051.855198942643,Engineering,0,2020-01-31,I love working here! Best company ever.,23.724254527499134,90.65378675112446
31,53.522781845089376,0.0,Engineering,1,2020-02-01,Needs improvement,23.492599005221813,90.35019868102322
32,34.86502775262066,53750.81026707593,Engineering,0,2020-02-02,I love working here! Best company ever.,23.633411740242128,90.61721958299445
33,24.422890710440996,0.0,Marketing,0,2020-02-03,Great place,23.80552591357606,90.88480794703065
34,43.225449121031886,40524.91495578103,Engineering,0,2020-02-04,Great place,23.397884175557024,90.23135764225941
35,22.791563500289776,63505.94698644831,IT,1,2020-02-05,Great place,23.805978900867583,90.40424164210704
36,37.08863595004755,12967.997284335337,Engineering,0,2020-02-06,Great place,23.592016842789064,90.99326519642975
37,15.403298761202244,280431.56160238525,HR,0,2020-02-07,Great place,23.165901024370786,90.86855702824946
38,21.718139511015693,,Marketing,1,2020-02-08,Needs improvement,23.024684157224584,90.5646398578962
39,36.96861235869123,,HR,1,2020-02-09,Average,23.362753600399152,90.51662759185427
40,42.38466579995411,11128.588923444668,Engineering,0,2020-02-10,Great place,23.54669632829634,90.28460038230467
41,36.7136828118997,,IT,0,2020-02-11,Great place,23.83982035220349,90.51720942769353
42,33.843517176117594,3746.8685917146645,Sales,1,2020-02-12,I love working here! Best company ever.,23.127485680140246,90.84818149827994
43,31.988963044107113,1556.605826180974,Engineering,1,2020-02-13,Needs improvement,23.80020634768358,90.68517451327779
44,20.214780096325725,0.0,IT,1,2020-02-14,Needs improvement,23.863009046067226,90.29004402817799
45,27.801557916052914,0.0,Marketing,1,2020-02-15,Average,23.150687487000834,90.20146392105353
46,30.393612290402125,101350.99625954202,HR,1,2020-02-16,Needs improvement,23.85159431930422,90.26520853699682
47,45.57122226218915,64945.14894089445,HR,1,2020-02-17,I love working here! Best company ever.,23.991453567842793,90.16975920139282
48,38.43618289568462,67876.8952374661,HR,1,2020-02-18,I love working here! Best company ever.,23.726838831048237,90.09564069602372
49,17.36959844637266,0.0,Marketing,0,2020-02-19,Average,23.784769681824987,90.41913617444206
50,38.24083969394795,21227.42663447413,IT,1,2020-02-20,I love working here! Best company ever.,23.994415267558875,90.11329960439826
51,31.149177195836835,0.0,Marketing,1,2020-02-21,Great place,23.605481250525944,90.1719125577271
52,28.230779996940413,219703.1945758252,HR,0,2020-02-22,Great place,23.30788638201625,90.54732468433949
53,41.11676288840868,2046.7871021964336,Engineering,1,2020-02-23,I love working here! Best company ever.,23.837530834076055,90.16459927369958
54,45.30999522495951,100882.14958778695,Sales,1,2020-02-24,Average,23.614485777511632,90.0638797674309
55,44.31280119116199,43217.587067633125,Marketing,0,2020-02-25,Needs improvement,23.581195423720956,90.31738885002788
56,26.607824767773614,0.0,Marketing,1,2020-02-26,Average,23.253635555514037,90.22031909862197
57,31.907876241487855,0.0,IT,0,2020-02-27,Needs improvement,23.756334269582887,90.51530518799437
58,38.31263431403564,33341.7151799607,IT,0,2020-02-28,I love working here! Best company ever.,23.081667275860095,90.10236708458321
59,44.75545127122359,103345.31706338834,Marketing,0,2020-02-29,I love working here! Best company ever.,23.924287070794662,90.75177078768297
60,30.2082576215471,115481.42398101873,HR,0,2020-03-01,Great place,23.325823460770486,90.90623351943513
61,33.14341023336183,27384.935067701237,Sales,1,2020-03-02,Needs improvement,23.12777465278999,90.7434351739562
62,23.936650259939718,0.0,IT,0,2020-03-03,Average,23.44236653310242,90.53282703740139
63,,44867.356097045464,HR,0,2020-03-04,I love working here! Best company ever.,23.042469909256532,90.86066782178888
64,43.125258223941984,0.0,Engineering,1,2020-03-05,Average,23.684626194264965,90.69491837978151
65,48.56240028570823,11828.044947501228,IT,0,2020-03-06,Great place,23.902705510445355,90.0105511224502
66,34.27989878419666,48771.07288497878,HR,0,2020-03-07,Needs improvement,23.83726300713851,90.39409015277451
67,45.03532897892024,0.0,HR,0,2020-03-08,Needs improvement,23.12736947344788,90.8509518994068
68,38.61636025047634,66046.50075634278,Sales,0,2020-03-09,I love working here! Best company ever.,23.126271137107732,90.34585885797527
69,28.548802453948756,7053.281485133021,Sales,1,2020-03-10,Needs improvement,23.813434482324265,90.03521517352553
70,38.61395605508414,,Engineering,0,2020-03-11,I love working here! Best company ever.,23.924254274603115,90.74617963855228
71,,119862.66031446225,HR,1,2020-03-12,Great place,23.46066982983349,90.80203827028286
72,34.64173960890049,0.0,HR,1,2020-03-13,Needs improvement,23.498971116913765,90.1605936950433
73,50.64643655814006,13560.479584358098,Sales,0,2020-03-14,I love working here! Best company ever.,23.318262041385726,90.53734049684319
74,8.802548959102555,0.0,IT,0,2020-03-15,Average,23.894265118256413,90.19195543899572
75,43.21902504375224,9982.152737757895,IT,0,2020-03-16,I love working here! Best company ever.,23.644902905292355,90.71923441904414
76,35.870470682381715,96339.4883878329,Marketing,0,2020-03-17,Needs improvement,23.28825157716737,90.27155045517749
77,32.009926495341325,0.0,Sales,1,2020-03-18,Great place,23.29878287105425,90.31621512256334
78,35.91760776535502,14199.848499718522,Marketing,1,2020-03-19,Needs improvement,23.8912000730636,90.8449708536401
79,15.124310853991073,102300.30008724245,Sales,1,2020-03-20,Needs improvement,23.013634023905823,90.4763223522069
80,32.80328112162488,29466.86627799779,Engineering,0,2020-03-21,I love working here! Best company ever.,23.322726572726637,90.66975445121825
81,38.57112571511746,36161.493455055905,HR,1,2020-03-22,Average,23.55435668121637,90.40237305072247
82,49.77894044741516,0.0,Engineering,0,2020-03-23,Needs improvement,23.148217462099325,90.29800685719376
83,29.817297817263526,44941.06713425393,Sales,0,2020-03-24,Average,23.09209875419959,90.62547806042465
84,26.915063971068122,8927.864880881569,HR,0,2020-03-25,I love working here! Best company ever.,23.81527633109056,90.15485757407882
85,29.982429564154636,24803.545318173678,IT,0,2020-03-26,Average,23.894404388648507,90.37299983556686
